"url","title","original_format","online_formats","subjects","date","description","contributors","locations","partof","access_restricted","id","image_url","thumb_url","resource_count","resource_url","filename"
"https://www.loc.gov/item/in0093/","Starr Historic District, Richmond, Wayne County, IN","photo, print, drawing","image;pdf","residential streets","","Photo(s): 6 | Color Transparencies: 1","boucher, jack e.;historic landmarks foundation of indiana;historic american buildings survey;karp, mort","wayne county;indiana;richmond","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","in0093","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0000/in0093/photos/066127pv.jpg#h=740&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0000/in0093/photos/066127p_150px.jpg#h=108&w=150","6","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0000/in0093/photos/066127pv.jpg#h=740&w=1024","in0093-0.jpg"
"https://www.loc.gov/item/co0447/","Crested Butte Historic District, Elk Avenue, Crested Butte, Gunnison County, CO","photo, print, drawing","image;pdf","historic sites;neighborhoods","","Color Transparencies: 5 | Photo Caption Page(s): 1","smalling, walter;historic american buildings survey","gunnison county;crested butte;colorado","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","co0447","https://tile.loc.gov/storage-services/service/pnp/habshaer/co/co0400/co0447/color/314464cv.jpg#h=819&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/co/co0400/co0447/color/314464c_150px.jpg#h=120&w=150","5","https://tile.loc.gov/storage-services/service/pnp/habshaer/co/co0400/co0447/color/314464cv.jpg#h=819&w=1024","co0447-0.jpg"
"https://www.loc.gov/item/in0473/","Maywood, Maywood Lane, Madison, Jefferson County, IN","photo, print, drawing","image;pdf","houses","","Color Transparencies: 2 | Photo Caption Page(s): 1","reindollar, vernon;historic american buildings survey","jefferson county;indiana;madison","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","in0473","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0400/in0473/color/368237cv.jpg#h=733&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0400/in0473/color/368237c_150px.jpg#h=107&w=150","2","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0400/in0473/color/368237cv.jpg#h=733&w=1024","in0473-0.jpg"
"https://www.loc.gov/item/nj1830/","School House, Beesleys Point, Cape May County, NJ","photo, print, drawing","image;pdf","schools;story","","Color Transparencies: 2 | Photo Caption Page(s): 1","historic american buildings survey","new jersey;beesleys point;cape may county","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","nj1830","https://tile.loc.gov/storage-services/service/pnp/habshaer/nj/nj1800/nj1830/color/368246cv.jpg#h=1024&w=732","https://tile.loc.gov/storage-services/service/pnp/habshaer/nj/nj1800/nj1830/color/368246c_150px.jpg#h=150&w=107","2","https://tile.loc.gov/storage-services/service/pnp/habshaer/nj/nj1800/nj1830/color/368246cv.jpg#h=1024&w=732","nj1830-0.jpg"
"https://www.loc.gov/item/fl0344/","Tampa Theatre, Tampa, Hillsborough County, FL","photo, print, drawing","image;pdf","theatrical productions;theaters;office buildings;entertainment","","Color Transparencies: 2 | Photo Caption Page(s): 1","smalling, walter;historic american buildings survey","hillsborough county;florida;tampa","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","fl0344","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0300/fl0344/color/571487cv.jpg#h=1024&w=821","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0300/fl0344/color/571487c_150px.jpg#h=150&w=120","2","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0300/fl0344/color/571487cv.jpg#h=1024&w=821","fl0344-0.jpg"
"https://www.loc.gov/item/co0448/","Christian Hall, Elk Avenue, Crested Butte, Gunnison County, CO","photo, print, drawing","image;pdf","auditoriums","","Color Transparencies: 2 | Photo Caption Page(s): 1","smalling, walter;historic american buildings survey","gunnison county;crested butte;colorado","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","co0448","https://tile.loc.gov/storage-services/service/pnp/habshaer/co/co0400/co0448/color/314469cv.jpg#h=1024&w=829","https://tile.loc.gov/storage-services/service/pnp/habshaer/co/co0400/co0448/color/314469c_150px.jpg#h=150&w=121","2","https://tile.loc.gov/storage-services/service/pnp/habshaer/co/co0400/co0448/color/314469cv.jpg#h=1024&w=829","co0448-0.jpg"
"https://www.loc.gov/item/in0472/","Starr Historic District, 302 North Twelfth Street, 302 North Twelfth Street, Richmond, Wayne County, IN","photo, print, drawing","image;pdf","houses","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american buildings survey","wayne county;indiana;richmond","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","in0472","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0400/in0472/color/362756cv.jpg#h=739&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0400/in0472/color/362756c_150px.jpg#h=108&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/in/in0400/in0472/color/362756cv.jpg#h=739&w=1024","in0472-0.jpg"
"https://www.loc.gov/item/ny2041/","Third Avenue Elevated, New York County, NY","photo, print, drawing","image;pdf","","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american buildings survey;price, virginia b","new york;new york county","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","ny2041","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2041/color/361671cv.jpg#h=1024&w=738","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2041/color/361671c_150px.jpg#h=150&w=108","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2041/color/361671cv.jpg#h=1024&w=738","ny2041-0.jpg"
"https://www.loc.gov/item/ny2053/","Caumsett-Lloyd House, Lloyd Neck, Lloyd Harbor, Suffolk County, NY","photo, print, drawing","image;pdf","","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american buildings survey","suffolk county;lloyd harbor;new york","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","ny2053","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2053/color/362774cv.jpg#h=735&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2053/color/362774c_150px.jpg#h=108&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2053/color/362774cv.jpg#h=735&w=1024","ny2053-0.jpg"
"https://www.loc.gov/item/pa4099/","Pennsylvania Horticultural Society, Walnut Street Garden, Walnut Street between Third & Fourth Streets, Philadelphia, Philadelphia County, PA","photo, print, drawing","image;pdf","gardens;formal gardens","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american landscapes survey","pennsylvania;philadelphia county;philadelphia","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","pa4099","https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa4000/pa4099/color/582867cv.jpg#h=738&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa4000/pa4099/color/582867c_150px.jpg#h=108&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa4000/pa4099/color/582867cv.jpg#h=738&w=1024","pa4099-0.jpg"
"https://www.loc.gov/item/ak0548/","Pederson Lagoon and Glacier, Seward, Kenai Peninsula Borough, AK","photo, print, drawing","image;pdf","national parks & reserves","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american landscapes survey","seward;alaska;kenai peninsula borough","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","ak0548","https://tile.loc.gov/storage-services/service/pnp/habshaer/ak/ak0500/ak0548/color/368217cv.jpg#h=732&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/ak/ak0500/ak0548/color/368217c_150px.jpg#h=107&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/ak/ak0500/ak0548/color/368217cv.jpg#h=732&w=1024","ak0548-0.jpg"
"https://www.loc.gov/item/fl0343/","Johnson-Wolff House, Port Tampa, Tampa, Hillsborough County, FL","photo, print, drawing","image;pdf","houses","","Color Transparencies: 1 | Photo Caption Page(s): 1","smalling, walter;historic american buildings survey","hillsborough county;florida;tampa","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","fl0343","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0300/fl0343/color/572055cv.jpg#h=817&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0300/fl0343/color/572055c_150px.jpg#h=120&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0300/fl0343/color/572055cv.jpg#h=817&w=1024","fl0343-0.jpg"
"https://www.loc.gov/item/az0598/","926-928 Lynwood Street (Houses), 926-928 Lynwood Street, Phoenix, Maricopa County, AZ","photo, print, drawing","image;pdf","houses","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american buildings survey","arizona;maricopa county;phoenix","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","az0598","https://tile.loc.gov/storage-services/service/pnp/habshaer/az/az0500/az0598/color/581928cv.jpg#h=735&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/az/az0500/az0598/color/581928c_150px.jpg#h=108&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/az/az0500/az0598/color/581928cv.jpg#h=735&w=1024","az0598-0.jpg"
"https://www.loc.gov/item/ny2046/","Rufus King House, 150th Street & Jamaica Avenue, Jamaica, Queens County, NY","photo, print, drawing","image;pdf","people associated with politics & government;politics & government;georgian architectural elements;historic house museums;greek revival architectural elements;government officials;dutch colonial architectural elements;war (revolutionary war)","","Color Transparencies: 3 | Photo Caption Page(s): 1","king, rufus;historic american buildings survey","jamaica;new york;queens county","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","ny2046","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2046/color/362771cv.jpg#h=736&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2046/color/362771c_150px.jpg#h=108&w=150","3","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2046/color/362771cv.jpg#h=736&w=1024","ny2046-0.jpg"
"https://www.loc.gov/item/ak0552/","Scenic Views, Chisana, Copper River Census Area, AK","photo, print, drawing","image;pdf","","","Color Transparencies: 3 | Photo Caption Page(s): 1","historic american landscapes survey;lowe, jet","copper river census area;chisana;alaska","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","ak0552","https://tile.loc.gov/storage-services/service/pnp/habshaer/ak/ak0500/ak0552/color/368219cv.jpg#h=812&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/ak/ak0500/ak0552/color/368219c_150px.jpg#h=119&w=150","3","https://tile.loc.gov/storage-services/service/pnp/habshaer/ak/ak0500/ak0552/color/368219cv.jpg#h=812&w=1024","ak0552-0.jpg"
"https://www.loc.gov/item/fl0612/","Everglades National Park, Flamingo Concession Building and Visitor Center, 1 Flamingo Lodge Highway, Flamingo, Monroe County, FL","photo, print, drawing","image;pdf","national parks & reserves;mission 66"" program;visitors' centers","","Color Transparencies: 5 | Photo Caption Page(s): 1","historic american buildings survey;boucher, jack e","monroe county;florida;flamingo","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","fl0612","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0600/fl0612/color/581815cv.jpg#h=735&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0600/fl0612/color/581815c_150px.jpg#h=108&w=150","5","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0600/fl0612/color/581815cv.jpg#h=735&w=1024","fl0612-0.jpg"
"https://www.loc.gov/item/fl0613/","Everglades National Park, Parachute Key Visitor Center and Park Headquarters, Key Largo, Monroe County, FL","photo, print, drawing","image;pdf","national parks & reserves;mission 66"" program;visitors' centers","","Color Transparencies: 2 | Photo Caption Page(s): 1","historic american buildings survey;boucher, jack e","monroe county;florida;key largo","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","fl0613","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0600/fl0613/color/581820cv.jpg#h=732&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0600/fl0613/color/581820c_150px.jpg#h=107&w=150","2","https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0600/fl0613/color/581820cv.jpg#h=732&w=1024","fl0613-0.jpg"
"https://www.loc.gov/item/la0532/","General Laundry Building, 2512 Saint Peter Street, New Orleans, Orleans Parish, LA","photo, print, drawing","image;pdf","art deco architectural elements;laundry;terra cotta;dryers","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american buildings survey","new orleans;louisiana;orleans parish","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","la0532","https://tile.loc.gov/storage-services/service/pnp/habshaer/la/la0500/la0532/color/362758cv.jpg#h=823&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/la/la0500/la0532/color/362758c_150px.jpg#h=121&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/la/la0500/la0532/color/362758cv.jpg#h=823&w=1024","la0532-0.jpg"
"https://www.loc.gov/item/ga0747/","Smiling Peanut, South Side of Highway 49, Plains, Sumter County, GA","photo, print, drawing","image;pdf","u.s. presidents;roadside attractions;public sculpture","","Color Transparencies: 1 | Photo Caption Page(s): 1","harrell, mark;carter, james earl (jimmy), jr;historic american buildings survey","plains;georgia;sumter county","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","ga0747","https://tile.loc.gov/storage-services/service/pnp/habshaer/ga/ga0700/ga0747/color/376628cv.jpg#h=819&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/ga/ga0700/ga0747/color/376628c_150px.jpg#h=120&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/ga/ga0700/ga0747/color/376628cv.jpg#h=819&w=1024","ga0747-0.jpg"
"https://www.loc.gov/item/ny2054/","Staatsburgh, Old Post Road, Staatsburg, Dutchess County, NY","photo, print, drawing","image;pdf","balustrades;historic house museums;houses;pilasters;beaux-arts architectural elements;state parks & reserves;porticoes (porches);greek revival architectural elements","","Color Transparencies: 1 | Photo Caption Page(s): 1","mills, ogden;historic american buildings survey;mills, ruth livingston;mckim, mead & white","staatsburg;dutchess county;new york","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","ny2054","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2054/color/362775cv.jpg#h=739&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2054/color/362775c_150px.jpg#h=108&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/ny/ny2000/ny2054/color/362775cv.jpg#h=739&w=1024","ny2054-0.jpg"
"https://www.loc.gov/item/pa3507/","Charles M. Schwab House, 541 Jones Avenue, Braddock, Allegheny County, PA","photo, print, drawing","image;pdf","houses;steel industry;domestic life","","Color Transparencies: 1 | Photo Caption Page(s): 1","osterling, frederick;boucher, jack;historic american buildings survey","pennsylvania;braddock;allegheny county","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","pa3507","https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa3500/pa3507/color/572411cv.jpg#h=745&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa3500/pa3507/color/572411c_150px.jpg#h=109&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa3500/pa3507/color/572411cv.jpg#h=745&w=1024","pa3507-0.jpg"
"https://www.loc.gov/item/va2064/","Oak Hill, One mile north of Gilbert's Corner on Route 15, Aldie, Loudoun County, VA","photo, print, drawing","image;pdf","porticoes (porches);houses;u.s. presidents;war (revolutionary war)","","Color Transparencies: 1 | Photo Caption Page(s): 1","hoban, james;benton, william;historic american buildings survey;monroe, james","loudoun county;virginia;aldie","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","va2064","https://tile.loc.gov/storage-services/service/pnp/habshaer/va/va2000/va2064/color/362823cv.jpg#h=1024&w=742","https://tile.loc.gov/storage-services/service/pnp/habshaer/va/va2000/va2064/color/362823c_150px.jpg#h=150&w=109","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/va/va2000/va2064/color/362823cv.jpg#h=1024&w=742","va2064-0.jpg"
"https://www.loc.gov/item/wi0333/","Taliesin, 5841 County Highway C, Spring Green, Sauk County, WI","photo, print, drawing","image;pdf","houses;prairie school architectural elements;domestic life","","Color Transparencies: 1 | Photo Caption Page(s): 1","unknown;wright, frank lloyd;historic american buildings survey","sauk county;wisconsin;spring green","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","wi0333","https://tile.loc.gov/storage-services/service/pnp/habshaer/wi/wi0300/wi0333/color/368287cv.jpg#h=813&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/wi/wi0300/wi0333/color/368287c_150px.jpg#h=119&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/wi/wi0300/wi0333/color/368287cv.jpg#h=813&w=1024","wi0333-0.jpg"
"https://www.loc.gov/item/md1841/","Washington D.C. Temple, 9900 Stoneybrook Drive, Kensington, Montgomery County, MD","photo, print, drawing","image;pdf","mormons;religions;mormon churches;temples","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american buildings survey","montgomery county;maryland;kensington","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","md1841","https://tile.loc.gov/storage-services/service/pnp/habshaer/md/md1800/md1841/color/361634cv.jpg#h=736&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/md/md1800/md1841/color/361634c_150px.jpg#h=108&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/md/md1800/md1841/color/361634cv.jpg#h=736&w=1024","md1841-0.jpg"
"https://www.loc.gov/item/md1856/","USS Constellation, Pier 1, 301 East Pratt Street, Baltimore, Baltimore (Independent City), MD","photo, print, drawing","image;pdf","maritime;naval museums;ships;war (civil war);gunports","","Color Transparencies: 1 | Photo Caption Page(s): 1","historic american engineering record;boucher, jack e","maryland;baltimore;independent city","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","md1856","https://tile.loc.gov/storage-services/service/pnp/habshaer/md/md1800/md1856/color/362745cv.jpg#h=740&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/md/md1800/md1856/color/362745c_150px.jpg#h=108&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/md/md1800/md1856/color/362745cv.jpg#h=740&w=1024","md1856-0.jpg"
"https://www.loc.gov/item/il0945/","William E. Martin House, 636 North East Avenue, Oak Park, Cook County, IL","photo, print, drawing","image;pdf","houses;prairie school architectural elements","","Color Transparencies: 1 | Photo Caption Page(s): 1","wright, frank lloyd;historic american buildings survey;martin, william","cook county;illinois;oak park","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","il0945","https://tile.loc.gov/storage-services/service/pnp/habshaer/il/il0900/il0945/color/362753cv.jpg#h=821&w=1024","https://tile.loc.gov/storage-services/service/pnp/habshaer/il/il0900/il0945/color/362753c_150px.jpg#h=120&w=150","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/il/il0900/il0945/color/362753cv.jpg#h=821&w=1024","il0945-0.jpg"
"https://www.loc.gov/item/mn0095/","Mayo Clinic Building, Rochester, Olmsted County, MN","photo, print, drawing","image;pdf","clinics;medicine;medical offices","","Color Transparencies: 1 | Photo Caption Page(s): 1","mayo, william j;plummer, henry;lowe, jet;historic american buildings survey;mayo, charles h","olmsted county;rochester;minnesota","american memory;historic american buildings survey/historic american engineering record/historic american landscapes survey;prints and photographs division","false","mn0095","https://tile.loc.gov/storage-services/service/pnp/habshaer/mn/mn0000/mn0095/color/368241cv.jpg#h=1024&w=731","https://tile.loc.gov/storage-services/service/pnp/habshaer/mn/mn0000/mn0095/color/368241c_150px.jpg#h=150&w=107","1","https://tile.loc.gov/storage-services/service/pnp/habshaer/mn/mn0000/mn0095/color/368241cv.jpg#h=1024&w=731","mn0095-0.jpg"
