"url","title","original_format","online_formats","subjects","date","description","contributors","locations","partof","access_restricted","id","image_url","thumb_url","resource_count","resource_url","filename"
"https://www.loc.gov/item/gottlieb.02761/","[52nd Street, New York, N.Y., ca. July 1948]","photo, print, drawing","image","film negatives;graphic;cityscape photographs;fifty-second street (new york, n.y.)","1948-01-01","Graphic.   Cityscape Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  color. ; 3 1/4 x 4 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 464 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.02761","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02761:ver01:0001/full/pct:50.0/0/default.jpg#h=2003&w=2525","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02761:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02761:ver01:0001/full/pct:50.0/0/default.jpg#h=2003&w=2525","gottlieb.02761-0.jpg"
"https://www.loc.gov/item/gottlieb.02771/","[52nd Street, New York, N.Y., ca. 1948]","photo, print, drawing","image","film negatives;graphic;cityscape photographs;fifty-second street (new york, n.y.)","1948-01-01","Graphic.   Cityscape Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  color. ; 4 x 5 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 465 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.02771","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02771:ver01:0001/full/pct:50.0/0/default.jpg#h=1999&w=2508","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02771:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02771:ver01:0001/full/pct:50.0/0/default.jpg#h=1999&w=2508","gottlieb.02771-0.jpg"
"https://www.loc.gov/item/gottlieb.04831/","[Portrait of Stan Kenton and Buddy Childers, Richmond, Va., 1947 or 1948]","photo, print, drawing","image","portrait photographs;graphic;conductors (music);kenton, stan;trumpet players;pianists;film negatives;childers, buddy;cityscape photographs;jazz musicians","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  color. ; 4 x 5 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 162 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.04831","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04831:ver01:0001/full/pct:50.0/0/default.jpg#h=2001&w=2513","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04831:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04831:ver01:0001/full/pct:50.0/0/default.jpg#h=2001&w=2513","gottlieb.04831-0.jpg"
"https://www.loc.gov/item/gottlieb.04881/","[Portrait of Stan Kenton and Eddie Safranski, 1947 or 1948]","photo, print, drawing","image","stan kenton orchestra;portrait photographs;graphic;safranski, eddie;conductors (music);film negatives;kenton, stan;pianists;double bassists;cityscape photographs;jazz musicians","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  color. ; 4 x 5 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 180 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.04881","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04881:ver01:0001/full/pct:50.0/0/default.jpg#h=2461&w=1983","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04881:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04881:ver01:0001/full/pct:50.0/0/default.jpg#h=2461&w=1983","gottlieb.04881-0.jpg"
"https://www.loc.gov/item/gottlieb.04911/","[Portrait of Stan Kenton and Pete Rugolo, 1947 or 1948]","photo, print, drawing","image","composers;portrait photographs;graphic;conductors (music);kenton, stan;pianists;film negatives;rugolo, pete;cityscape photographs;jazz musicians","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  color. ; 4 x 5 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 174 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.04911","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04911:ver01:0001/full/pct:50.0/0/default.jpg#h=2490&w=1972","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04911:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04911:ver01:0001/full/pct:50.0/0/default.jpg#h=2490&w=1972","gottlieb.04911-0.jpg"
"https://www.loc.gov/item/gottlieb.04931/","[Portrait of Stan Kenton, Pete Rugolo, and Bob Graettinger, Richmond, Va.(?), 1947 or 1948]","photo, print, drawing","image","composers;stan kenton orchestra;portrait photographs;graphic;conductors (music);kenton, stan;jazz musicians;film negatives;rugolo, pete;cityscape photographs;pianists;graettinger, bob","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  color. ; 4 x 5 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 166 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.04931","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04931:ver01:0001/full/pct:50.0/0/default.jpg#h=2526&w=2013","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04931:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04931:ver01:0001/full/pct:50.0/0/default.jpg#h=2526&w=2013","gottlieb.04931-0.jpg"
"https://www.loc.gov/item/gottlieb.11181/","[52nd Street, New York, N.Y., ca. July 1948]","photo, print, drawing","image","film negatives;graphic;cityscape photographs;fifty-second street (new york, n.y.)","1948-01-01","Graphic.   Cityscape Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  color. ; 4 x 5 in. |   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 464 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.11181","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-11181:ver01:0001/full/pct:50.0/0/default.jpg#h=1988&w=2513","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-11181:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-11181:ver01:0001/full/pct:50.0/0/default.jpg#h=1988&w=2513","gottlieb.11181-0.jpg"
"https://www.loc.gov/item/gottlieb.11201/","[52nd Street, New York, N.Y., ca. July 1948]","photo, print, drawing","image","film negatives;graphic;cityscape photographs;fifty-second street (new york, n.y.)","1948-01-01","Graphic.   Cityscape Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  color. ; 4 x 5 in. |   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 464 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.11201","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-11201:ver01:0001/full/pct:50.0/0/default.jpg#h=2001&w=2514","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-11201:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-11201:ver01:0001/full/pct:50.0/0/default.jpg#h=2001&w=2514","gottlieb.11201-0.jpg"
"https://www.loc.gov/item/gottlieb.02801/","[52nd Street, New York, N.Y., ca. 1948]","photo, print, drawing","image","film transparencies;graphic;cityscape photographs;fifty-second street (new york, n.y.)","1948-01-01","Graphic.   Cityscape Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Transparencies-1940-1950..   electronic resource |   1 transparency :  film, color. ; 3 1/4 x 4 1/4 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 465 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.02801","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02801:ver01:0001/full/pct:50.0/0/default.jpg#h=1853&w=2417","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02801:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-02801:ver01:0001/full/pct:50.0/0/default.jpg#h=1853&w=2417","gottlieb.02801-0.jpg"
"https://www.loc.gov/item/gottlieb.04841/","[Portrait of Stan Kenton and Buddy Childers, Richmond, Va., 1947 or 1948]","photo, print, drawing","image","portrait photographs;graphic;conductors (music);kenton, stan;trumpet players;pianists;childers, buddy;cityscape photographs;film transparencies;jazz musicians","1947-01-01","Graphic.   Portrait Photographs-1940-1950..   Cityscape Photographs-1940-1950..   Film Transparencies-1940-1950..   electronic resource |   1 transparency :  film, color. ; 4 x 5 in. |   Reference print available in Music Division, Library of Congress.   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   Gottlieb Collection Assignment No. 162 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).","gottlieb, william p.","united states","music division;william p. gottlieb collection;performing arts encyclopedia","false","gottlieb.04841","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04841:ver01:0001/full/pct:50.0/0/default.jpg#h=2007&w=2514","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04841:ver01:0001/full/pct:12.5/0/default.jpg","1","https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-04841:ver01:0001/full/pct:50.0/0/default.jpg#h=2007&w=2514","gottlieb.04841-0.jpg"
